"ID";"ITEM";"FORMA";"COMPETENCIA";"ESTRUCTURA";"FUNCION";"DIFICULTAD_TCT";"BANCO_WEBEXAM"
745;"ABSCR021";"10";"RAZONAMIENTO ABSTRACTO";"2.1.2";"PILOTO";20,00;"ABS10"
746;"ABSCR023";"10";"RAZONAMIENTO ABSTRACTO";"3.2.1";"PILOTO";29,60;"ABS10"
747;"ABSJI010";"10";"RAZONAMIENTO ABSTRACTO";"1.2.1";"OPERATIVO";79,30;"ABS10"
748;"ABSJI014";"10";"RAZONAMIENTO ABSTRACTO";"3.1.1";"OPERATIVO";90,92;"ABS10"
749;"ABSVP025";"10";"RAZONAMIENTO ABSTRACTO";"1.1.1";"PILOTO";75,59;"ABS10"
750;"ABSVP028";"10";"RAZONAMIENTO ABSTRACTO";"2.1.1";"PILOTO";48,32;"ABS10"
751;"ABSVP032";"10";"RAZONAMIENTO ABSTRACTO";"3.3.1";"PILOTO";45,32;"ABS10"
752;"CIEAB065";"11";"CIENTIFICA";"1.1.1";"OPERATIVO";15,64;"CIE11"
753;"COMBM142";"11";"COMUNICATIVA";"1.2.1";"PILOTO";19,35;"COM11"
754;"MATBJ036";"11";"MATEMATICA";"1.1.3";"PILOTO";19,50;"MAT11"
755;"34293";"11";"COMUNICATIVA";"2.2.1";"OPERATIVO";20,58;"COM11"
756;"CIELM117";"11";"CIENTIFICA";"1.2.1";"OPERATIVO";22,19;"CIE11"
757;"34303";"11";"COMUNICATIVA";"4.1.2";"OPERATIVO";22,69;"COM11"
758;"57758";"11";"RAZONAMIENTO ABSTRACTO";"1.3.1";"PILOTO";24,01;"ABS11"
759;"COMGC110";"11";"COMUNICATIVA";"4.1.2";"OPERATIVO";27,22;"COM11"
760;"34200";"11";"MATEMATICA";"2.2.1";"PILOTO";28,32;"MAT11"
761;"MATCL045";"11";"MATEMATICA";"1.1.2";"OPERATIVO";29,47;"MAT11"
762;"CIEAY072";"11";"CIENTIFICA";"2.2.1";"PILOTO";30,41;"CIE11"
763;"34209";"11";"MATEMATICA";"1.2.1";"OPERATIVO";30,49;"MAT11"
764;"CIELM118";"11";"CIENTIFICA";"2.3.3";"PILOTO";31,56;"CIE11"
765;"MATRJ008";"11";"MATEMATICA";"1.1.2";"OPERATIVO";35,23;"MAT11"
766;"34300";"11";"COMUNICATIVA";"4.1.2";"OPERATIVO";35,60;"COM11"
767;"34213";"11";"MATEMATICA";"3.1.1";"OPERATIVO";35,66;"MAT11"
768;"57768";"11";"RAZONAMIENTO ABSTRACTO";"2.1.1";"OPERATIVO";39,54;"ABS11"
769;"MATCH024";"11";"MATEMATICA";"2.1.1";"OPERATIVO";42,10;"MAT11"
770;"CIEVM001";"11";"CIENTIFICA";"2.2.2";"OPERATIVO";42,24;"CIE11"
771;"COMGC114";"11";"COMUNICATIVA";"2.1.2";"OPERATIVO";44,26;"COM11"
772;"COMBR156";"11";"COMUNICATIVA";"4.3.1";"PILOTO";46,01;"COM11"
773;"CIEAY076";"11";"CIENTIFICA";"2.1.2";"OPERATIVO";47,41;"CIE11"
774;"CIEAY077";"11";"CIENTIFICA";"2.1.2";"OPERATIVO";48,76;"CIE11"
775;"57927";"11";"COMUNICATIVA";"2.2.1";"PILOTO";49,75;"COM11"
776;"34195";"11";"MATEMATICA";"2.2.1";"OPERATIVO";49,76;"MAT11"
777;"57936";"11";"COMUNICATIVA";"3.1.1";"PILOTO";50,10;"COM11"
778;"CIEAB067";"11";"CIENTIFICA";"2.3.2";"OPERATIVO";50,80;"CIE11"
779;"MATVP019";"11";"MATEMATICA";"1.1.1";"OPERATIVO";52,06;"MAT11"
780;"COMPS123";"11";"COMUNICATIVA";"2.1.1";"OPERATIVO";52,30;"COM11"
781;"57761";"11";"RAZONAMIENTO ABSTRACTO";"2.1.1";"OPERATIVO";52,41;"ABS11"
782;"57769";"11";"RAZONAMIENTO ABSTRACTO";"1.1.1";"OPERATIVO";53,30;"ABS11"
783;"COMBM138";"11";"COMUNICATIVA";"4.1.2";"OPERATIVO";55,06;"COM11"
784;"34220";"11";"RAZONAMIENTO ABSTRACTO";"3.3.1";"OPERATIVO";55,71;"ABS11"
785;"COMLV161";"11";"COMUNICATIVA";"1.2.2";"OPERATIVO";55,94;"COM11"
786;"57931";"11";"COMUNICATIVA";"4.1.1";"OPERATIVO";57,62;"COM11"
787;"MATBA094";"11";"MATEMATICA";"3.1.1";"OPERATIVO";58,08;"MAT11"
788;"CIESW027";"11";"CIENTIFICA";"3.2.1";"OPERATIVO";58,91;"CIE11"
789;"CIEBF061";"11";"CIENTIFICA";"2.4.2";"OPERATIVO";61,15;"CIE11"
790;"57782";"11";"RAZONAMIENTO ABSTRACTO";"2.1.1";"OPERATIVO";61,70;"ABS11"
791;"CIEAP134";"11";"CIENTIFICA";"2.4.1";"OPERATIVO";62,39;"CIE11"
792;"34206";"11";"MATEMATICA";"3.2.1";"OPERATIVO";62,64;"MAT11"
793;"CIESW031";"11";"CIENTIFICA";"2.1.1";"OPERATIVO";62,98;"CIE11"
794;"57764";"11";"RAZONAMIENTO ABSTRACTO";"1.1.1";"OPERATIVO";65,76;"ABS11"
795;"34202";"11";"MATEMATICA";"3.2.1";"OPERATIVO";67,37;"MAT11"
796;"COMWO182";"11";"COMUNICATIVA";"4.2.1";"OPERATIVO";71,99;"COM11"
797;"COMPS127";"11";"COMUNICATIVA";"3.2.1";"OPERATIVO";73,84;"COM11"
798;"CIELM119";"11";"CIENTIFICA";"2.3.3";"OPERATIVO";74,11;"CIE11"
799;"34176";"11";"MATEMATICA";"1.1.1";"OPERATIVO";74,23;"MAT11"
800;"57772";"11";"RAZONAMIENTO ABSTRACTO";"3.1.1";"OPERATIVO";76,98;"ABS11"
801;"CIEAB068";"11";"CIENTIFICA";"3.1.1";"OPERATIVO";77,39;"CIE11"
802;"COMPS125";"11";"COMUNICATIVA";"3.1.1";"OPERATIVO";78,26;"COM11"
803;"CIEAY074";"11";"CIENTIFICA";"2.4.3";"OPERATIVO";79,40;"CIE11"
804;"MATVP017";"11";"MATEMATICA";"1.1.1";"OPERATIVO";80,00;"MAT11"
805;"CIEAB066";"11";"CIENTIFICA";"2.3.2";"OPERATIVO";83,28;"CIE11"
806;"COMLV162";"11";"COMUNICATIVA";"1.1.2";"OPERATIVO";84,10;"COM11"
807;"CIEBF058";"11";"CIENTIFICA";"2.1.2";"PILOTO";85,83;"CIE11"
808;"COMBR151";"11";"COMUNICATIVA";"1.1.1";"OPERATIVO";93,24;"COM11"
809;"ABSBA001";"11";"RAZONAMIENTO ABSTRACTO";"1.1.1";"OPERATIVO";53,09;"ABS11"
810;"ABSBA003";"11";"RAZONAMIENTO ABSTRACTO";"1.3.1";"OPERATIVO";34,14;"ABS11"
811;"ABSCR024";"11";"RAZONAMIENTO ABSTRACTO";"3.3.1";"OPERATIVO";69,27;"ABS11"
812;"ABSJI015";"11";"RAZONAMIENTO ABSTRACTO";"3.2.1";"PILOTO";29,26;"ABS11"
813;"ABSVP026";"11";"RAZONAMIENTO ABSTRACTO";"1.2.1";"PILOTO";27,01;"ABS11"
814;"ABSVP029";"11";"RAZONAMIENTO ABSTRACTO";"2.1.2";"PILOTO";13,27;"ABS11"
815;"ABSVP030";"11";"RAZONAMIENTO ABSTRACTO";"3.1.1";"PILOTO";11,79;"ABS11"
816;"ABSVP031";"11";"RAZONAMIENTO ABSTRACTO";"3.2.1";"PILOTO";38,65;"ABS11"
817;"CIEVM005";"12";"CIENTIFICA";"1.1.1";"OPERATIVO";74,12;"CIE12"
818;"CIESD038";"12";"CIENTIFICA";"1.1.1";"OPERATIVO";87,80;"CIE12"
819;"CIEBF023";"12";"CIENTIFICA";"1.2.1";"PILOTO";85,36;"CIE12"
820;"CIESW030";"12";"CIENTIFICA";"2.1.1";"OPERATIVO";78,08;"CIE12"
821;"CIECS028";"12";"CIENTIFICA";"2.1.1";"OPERATIVO";87,80;"CIE12"
822;"CIEBF056";"12";"CIENTIFICA";"2.1.2";"PILOTO";78,87;"CIE12"
823;"CIEMB045";"12";"CIENTIFICA";"2.1.2";"OPERATIVO";87,80;"CIE12"
824;"CIEAY072";"12";"CIENTIFICA";"2.2.1";"OPERATIVO";38,44;"CIE12"
825;"CIEVM002";"12";"CIENTIFICA";"2.2.2";"OPERATIVO";64,72;"CIE12"
826;"CIEAP010";"12";"CIENTIFICA";"2.3.1";"OPERATIVO";70,73;"CIE12"
827;"CIEAB067";"12";"CIENTIFICA";"2.3.2";"OPERATIVO";51,23;"CIE12"
828;"CIELM118";"12";"CIENTIFICA";"2.3.3";"OPERATIVO";32,69;"CIE12"
829;"CIEAP134";"12";"CIENTIFICA";"2.4.1";"PILOTO";66,91;"CIE12"
830;"CIEMC080";"12";"CIENTIFICA";"2.4.2";"OPERATIVO";48,72;"CIE12"
831;"CIEAY075";"12";"CIENTIFICA";"2.4.3";"OPERATIVO";61,43;"CIE12"
832;"CIEAB069";"12";"CIENTIFICA";"3.1.1";"OPERATIVO";60,21;"CIE12"
833;"CIEBF162";"12";"CIENTIFICA";"3.2.1";"OPERATIVO";85,36;"CIE12"
834;"COMBN016";"12";"COMUNICATIVA";"1.1.1";"OPERATIVO";73,80;"COM12"
