"ID";"ITEM";"FORMA";"COMPETENCIA";"ESTRUCTURA";"FUNCION";"DIFICULTAD_TCT";"BANCO_WEBEXAM"
888;"CIEVM002";"13";"CIENTIFICA";"2.2.2";"OPERATIVO";64,72;"CIE13"
889;"CIEAP010";"13";"CIENTIFICA";"2.3.1";"OPERATIVO";70,73;"CIE13"
890;"CIEAB067";"13";"CIENTIFICA";"2.3.2";"OPERATIVO";51,23;"CIE13"
891;"CIELM118";"13";"CIENTIFICA";"2.3.3";"OPERATIVO";32,69;"CIE13"
892;"CIEMC080";"13";"CIENTIFICA";"2.4.2";"OPERATIVO";48,72;"CIE13"
893;"CIEAY075";"13";"CIENTIFICA";"2.4.3";"OPERATIVO";61,43;"CIE13"
894;"CIEAB069";"13";"CIENTIFICA";"3.1.1";"OPERATIVO";60,21;"CIE13"
895;"CIEBF162";"13";"CIENTIFICA";"3.2.1";"OPERATIVO";85,36;"CIE13"
896;"CIELM091";"13";"CIENTIFICA";"2.4.1";"PILOTO";;"CIE13"
897;"CIECS115";"13";"CIENTIFICA";"2.4.1";"PILOTO";;"CIE13"
898;"CIESW014";"13";"CIENTIFICA";"1.2.1";"PILOTO";;"CIE13"
899;"COMBN016";"13";"COMUNICATIVA";"1.1.1";"OPERATIVO";73,80;"COM13"
900;"COMGC005";"13";"COMUNICATIVA";"1.1.2";"OPERATIVO";54,76;"COM13"
901;"COMBR25";"13";"COMUNICATIVA";"1.2.1";"OPERATIVO";78,57;"COM13"
902;"COMLV164";"13";"COMUNICATIVA";"1.2.2";"OPERATIVO";67,47;"COM13"
903;"COMPS122";"13";"COMUNICATIVA";"2.1.1";"OPERATIVO";17,52;"COM13"
904;"COMGC024";"13";"COMUNICATIVA";"2.1.1";"OPERATIVO";57,14;"COM13"
905;"COMGC114";"13";"COMUNICATIVA";"2.1.2";"OPERATIVO";55,72;"COM13"
906;"57928";"13";"COMUNICATIVA";"2.2.1";"OPERATIVO";58,11;"COM13"
907;"COMSH054";"13";"COMUNICATIVA";"3.1.1";"OPERATIVO";80,95;"COM13"
908;"57918";"13";"COMUNICATIVA";"3.2.1";"OPERATIVO";65,04;"COM13"
909;"57935";"13";"COMUNICATIVA";"3.2.1";"OPERATIVO";44,05;"COM13"
910;"57939";"13";"COMUNICATIVA";"3.2.1";"OPERATIVO";37,06;"COM13"
911;"COMGC001";"13";"COMUNICATIVA";"4.1.1";"OPERATIVO";45,23;"COM13"
912;"COMMM057";"13";"COMUNICATIVA";"4.2.1";"PILOTO";;"COM13"
913;"34303";"13";"COMUNICATIVA";"4.1.2";"OPERATIVO";26,13;"COM13"
914;"COMBM135";"13";"COMUNICATIVA";"4.1.2";"PILOTO";68,83;"COM13"
915;"COMMM058";"13";"COMUNICATIVA";"4.3.1";"PILOTO";85,71;"COM13"
916;"COMMM059";"13";"COMUNICATIVA";"4.3.1";"PILOTO";;"COM13"
917;"MATVP018";"13";"MATEMATICA";"1.1.1";"OPERATIVO";78,04;"MAT13"
918;"MATGJ083";"13";"MATEMATICA";"1.1.1";"PILOTO";;"MAT13"
919;"MATCE041";"13";"MATEMATICA";"1.1.2";"OPERATIVO";47,61;"MAT13"
920;"MATCL001";"13";"MATEMATICA";"1.1.2";"OPERATIVO";45,23;"MAT13"
921;"MATCR051";"13";"MATEMATICA";"1.1.3";"OPERATIVO";41,06;"MAT13"
922;"MATYJ039";"13";"MATEMATICA";"1.1.3";"OPERATIVO";53,57;"MAT13"
923;"34209";"13";"MATEMATICA";"1.2.1";"OPERATIVO";40,67;"MAT13"
924;"MATCH021";"13";"MATEMATICA";"1.2.1";"OPERATIVO";39,02;"MAT13"
925;"MATCH025";"13";"MATEMATICA";"2.1.1";"OPERATIVO";28,19;"MAT13"
926;"MATYJ042";"13";"MATEMATICA";"2.2.1";"OPERATIVO";49,04;"MAT13"
927;"34180";"13";"MATEMATICA";"2.2.1";"OPERATIVO";45,67;"MAT13"
928;"MATBA094";"13";"MATEMATICA";"3.1.1";"OPERATIVO";62,47;"MAT13"
929;"MATCE080";"13";"MATEMATICA";"3.2.1";"PILOTO";;"MAT13"
930;"34188";"13";"MATEMATICA";"3.2.1";"OPERATIVO";26,56;"MAT13"
931;"57764";"13";"RAZONAMIENTO ABSTRACTO";"1.1.1";"PILOTO";68,11;"ABS13"
932;"ABSGP033";"13";"RAZONAMIENTO ABSTRACTO";"1.1.1";"PILOTO";;"ABS13"
933;"ABSTJ045";"13";"RAZONAMIENTO ABSTRACTO";"1.2.1";"OPERATIVO";42,85;"ABS13"
934;"ABSGP038";"13";"RAZONAMIENTO ABSTRACTO";"1.3.1";"PILOTO";;"ABS13"
935;"57757";"13";"RAZONAMIENTO ABSTRACTO";"1.3.1";"OPERATIVO";47,42;"ABS13"
936;"57768";"13";"RAZONAMIENTO ABSTRACTO";"2.1.1";"OPERATIVO";48,93;"ABS13"
937;"57782";"13";"RAZONAMIENTO ABSTRACTO";"2.1.1";"OPERATIVO";65,07;"ABS13"
938;"ABSCR020";"13";"RAZONAMIENTO ABSTRACTO";"2.1.1";"OPERATIVO";50,00;"ABS13"
939;"57754";"13";"RAZONAMIENTO ABSTRACTO";"2.1.2";"PILOTO";74,18;"ABS13"
940;"ABSGP040";"13";"RAZONAMIENTO ABSTRACTO";"2.1.2";"OPERATIVO";71,42;"ABS13"
941;"57772";"13";"RAZONAMIENTO ABSTRACTO";"3.1.1";"PILOTO";73,59;"ABS13"
942;"ABSCR022";"13";"RAZONAMIENTO ABSTRACTO";"3.1.1";"OPERATIVO";54,28;"ABS13"
943;"ABSJI015";"13";"RAZONAMIENTO ABSTRACTO";"3.2.1";"OPERATIVO";29,26;"ABS13"
944;"ABSTJ063";"13";"RAZONAMIENTO ABSTRACTO";"3.2.1";"OPERATIVO";57,14;"ABS13"
945;"ABSCR024";"13";"RAZONAMIENTO ABSTRACTO";"3.3.1";"PILOTO";69,27;"ABS13"
946;"ABSVP032";"13";"RAZONAMIENTO ABSTRACTO";"3.3.1";"OPERATIVO";45,32;"ABS13"
